match_type,date,english_name,url,language,display_order,source_file,notes,description_mode,site_label,link_description
exact_date_and_name,14-Jan,St. Hilary,https://www.pauline.or.jp/calendariosanti/gen_saint50.php?id=011301,ja,1,WIP_feasts_seasons_terms_ja_20251206.csv,reference line 7,localized_summary,Laudate,
exact_date_and_name,15-Jan,St. Paul the Hermit,https://www.pauline.or.jp/calendariosanti/gen_saint365.php?id=011501,ja,1,WIP_feasts_seasons_terms_ja_20251206.csv,reference line 8,localized_summary,Laudate,
exact_date_and_name,16-Jan,Pope Marcellus I,https://www.pauline.or.jp/calendariosanti/gen_saint365.php?id=011601,ja,1,WIP_feasts_seasons_terms_ja_20251206.csv,reference line 9,localized_summary,Laudate,
exact_date_and_name,17-Jan,St. Anthony the Great,https://www.pauline.or.jp/calendariosanti/gen_saint365.php?id=011701,ja,1,WIP_feasts_seasons_terms_ja_20251206.csv,reference line 10,localized_summary,Laudate,
exact_date_and_name,20-Jan,Pope Fabian & St. Sebastian,https://www.pauline.or.jp/calendariosanti/gen_saint50.php?id=012002,ja,1,WIP_feasts_seasons_terms_ja_20251206.csv,reference line 14,localized_summary,Laudate,聖ファビアノ教皇
exact_date_and_name,21-Jan,St. Agnes,https://www.pauline.or.jp/calendariosanti/gen_saint365.php?id=012101,ja,1,WIP_feasts_seasons_terms_ja_20251206.csv,reference line 15,localized_summary,Laudate,聖アグネスおとめ殉教者
exact_date_and_name,22-Jan,SS. Vincent & Anastasius,https://www.pauline.or.jp/calendariosanti/gen_saint365.php?id=012201,ja,1,WIP_feasts_seasons_terms_ja_20251206.csv,reference line 16,localized_summary,Laudate,聖ヴィンチェンツィオ
exact_date_and_name,24-Jan,St. Timothy,https://www.pauline.or.jp/calendariosanti/gen_saint365.php?id=012601,ja,1,WIP_feasts_seasons_terms_ja_20251206.csv,reference line 18,localized_summary,Laudate,
exact_date_and_name,25-Jan,Conversion of St. Paul,https://www.pauline.or.jp/calendariosanti/gen_saint365.php?id=012501,ja,1,WIP_feasts_seasons_terms_ja_20251206.csv,reference line 19,localized_summary,Laudate,
exact_date_and_name,26-Jan,St. Polycarp,https://www.pauline.or.jp/calendariosanti/gen_saint50.php?id=022302,ja,1,WIP_feasts_seasons_terms_ja_20251206.csv,reference line 20,localized_summary,Laudate,
exact_date_and_name,27-Jan,St. John Chrysostom,https://www.pauline.or.jp/calendariosanti/gen_saint50.php?id=091301,ja,1,WIP_feasts_seasons_terms_ja_20251206.csv,reference line 21,localized_summary,Laudate,
exact_date_and_name,29-Jan,St. Francis de Sales,https://www.pauline.or.jp/calendariosanti/gen_saint50.php?id=012401,ja,1,WIP_feasts_seasons_terms_ja_20251206.csv,reference line 23,localized_summary,Laudate,
exact_date_and_name,31-Jan,St. John Bosco,https://www.pauline.or.jp/calendariosanti/gen_saint365.php?id=013101,ja,1,WIP_feasts_seasons_terms_ja_20251206.csv,reference line 25,localized_summary,Laudate,
exact_date_and_name,1-Feb,St. Ignatius,https://www.pauline.or.jp/calendariosanti/gen_saint50.php?id=101701,ja,1,WIP_feasts_seasons_terms_ja_20251206.csv,reference line 27,localized_summary,Laudate,
exact_date_and_name,2-Feb,Candlemas,https://www.pauline.or.jp/calendariosanti/gen_saint365.php?id=020201,ja,1,WIP_feasts_seasons_terms_ja_20251206.csv,reference line 28,localized_summary,Laudate,主の奉献
exact_date_and_name,3-Feb,St. Blaise,https://www.pauline.or.jp/calendariosanti/gen_saint365.php?id=020302,ja,1,WIP_feasts_seasons_terms_ja_20251206.csv,reference line 29,localized_summary,Laudate,
exact_date_and_name,4-Feb,St. Andrew Corsini,https://www.pauline.or.jp/calendariosanti/gen_saint365.php?id=020401,ja,1,WIP_feasts_seasons_terms_ja_20251206.csv,reference line 30,localized_summary,Laudate,
