date,english_name,match_type,reason,source_file,notes
16-Dec,Las Posadas,exact_date_and_name,Not observed in Japan.,fixed_feasts_ferias_et_al.json,
17-Dec,Golden Nights,exact_date_and_name,Not observed in Japan.,fixed_feasts_ferias_et_al.json,
5-Jan,Twelfth Night,exact_date_and_name,Not observed in Japan.,fixed_feasts_ferias_et_al.json,
,Plough Monday,movable_name,Not observed in Japan.,movable_feasts_ferias_et_al.json,
1-Feb,St. Brigid,exact_date_and_name,Hide in Japanese localization; feast for certain countries.,fixed_feasts_ferias_et_al.json,
,Fat Thursday,movable_name,Not observed in Japan.,movable_feasts_ferias_et_al.json,
,Shrovetide,period_name,Not observed in Japan.,seasons.json,
,Shrove Monday,movable_name,Not observed in Japan.,movable_feasts_ferias_et_al.json,
,Mardi Gras,movable_name,Not observed in Japan.,movable_feasts_ferias_et_al.json,
2-Apr,St. Mary of Egypt,exact_date_and_name,Hide in Japanese localization.,fixed_feasts_ferias_et_al.json,
24-Apr,St. Mark's Eve,exact_date_and_name,Not observed in Japan.,fixed_feasts_ferias_et_al.json,
30-Apr,Walpurgisnacht,exact_date_and_name,Not observed in Japan.,fixed_feasts_ferias_et_al.json,
15-May,St. Dymphna,exact_date_and_name,Hide in Japanese localization.,fixed_feasts_ferias_et_al.json,
15-May,St. Isidore the Farmer,exact_date_and_name,Hide in Japanese localization.,fixed_feasts_ferias_et_al.json,
9-Jun,St. Columba,exact_date_and_name,Hide in Japanese localization.,fixed_feasts_ferias_et_al.json,
15-Jun,St. Germaine Cousin,exact_date_and_name,Hide in Japanese localization.,fixed_feasts_ferias_et_al.json,
12-Jul,St. Veronica,exact_date_and_name,Hide in Japanese localization.,fixed_feasts_ferias_et_al.json,
8-Aug,Fourteen Holy Helpers,exact_date_and_name,Hide in Japanese localization.,fixed_feasts_ferias_et_al.json,
4-Sep,St. Rosalia,exact_date_and_name,Hide in Japanese localization.,fixed_feasts_ferias_et_al.json,
17-Sep,St. Hildegard of Bingen,exact_date_and_name,Hide in Japanese localization.,fixed_feasts_ferias_et_al.json,
23-Sep,St. Pio of Pietrelcina,exact_date_and_name,Hide in Japanese localization.,fixed_feasts_ferias_et_al.json,
24-Sep,Our Lady of Walsingham,exact_date_and_name,Hide in Japanese localization.,fixed_feasts_ferias_et_al.json,
26-Sep,Canadian Martyrs,exact_date_and_name,Hide in Japanese localization.,fixed_feasts_ferias_et_al.json,
31-Oct,Halloween,exact_date_and_name,Not observed in Japan.,fixed_feasts_ferias_et_al.json,
,Hallowtide,period_name,Not observed in Japan.,seasons.json,
13-Nov,St. Cabrini,exact_date_and_name,Hide in Japanese localization.,fixed_feasts_ferias_et_al.json,
18-Jan,Chair of Unity Octave,exact_date_and_name,Customary non-liturgical observance not included in the Japanese localization.,fixed_feasts_ferias_et_al.json,
